,Country1,Occupation,Birth year,lifespan
1997,United States,artist,1940,67
1998,United States,artist,1925,92
1999,United Kingdom,artist,1932,76
2000,United States,athlete,1941,75
2001,Colombia,drug trafficker,1947,42
2002,United Kingdom,politician,1863,82
2003,United Kingdom,novelist,1902,32
2004,United States,artist,1929,77
2005,Spain,artist,1857,39
2006,Turkey,military personnel,1931,60
2007,United States,librarian,1862,69
2008,Romania,teacher,1868,73
2009,United States,politician,1888,58
2010,United States,judge,1956,57
2011,United States,politician,1946,59
2012,Brazil,artist,1906,76
2013,Mexico,businessperson,1931,83
2014,United States,athlete,1945,72
2015,United States,artist,1890,56
2016,Canada,athlete,1901,76
2017,Hungary,military personnel,1890,55
2018,United Kingdom,artist,1913,81
2019,United Kingdom,artist,1881,68
2020,France,athlete,1937,72
2021,France,artist,1923,69
2022,United States,artist,1906,95
2023,France,artist,1201,33
2024,United States,politician,1939,70
2025,United States,athlete,1979,39
2026,Belgium,athlete,1966,50
2027,Ireland,student,1994,16
2028,Germany,military personnel,1879,66
2029,France,criminal,1876,36
2030,United Kingdom,artist,1933,82
2031,United States,artist,1914,73
2032,United States,politician,1824,63
2033,United States,conductor,1903,86
2034,Greece,artist,1899,88
2035,United States,coxswain,1925,86
2036,Romania,artist,1892,50
2037,United States,television presenter,1918,91
2038,Hungary,politician,1972,38
2039,China,athlete,1981,29
2040,United States,organized crime,1836,85
2040,United States,lottery,1836,85
2040,United States,numbers game,1836,85
2041,Spain,artist,1939,66
2042,Austria,artist,1926,47
2043,Indonesia,artist,1936,51
2044,Sweden,artist,1920,61
2045,Germany,serial killer,1860,64
2045,Germany,murderer,1860,64
2045,Germany,criminal,1860,64
2046,United States,journalist,1923,90
2047,United States,artist,1909,76
2048,United States,artist,1886,89
2049,Germany,surgeon,1828,51
2049,Germany,ophthalmologist,1828,51
2050,Denmark,politician,1903,52
2051,Argentina,politician,1936,70
2052,United States,athlete,1940,65
2053,United States,researcher,1927,49
2054,United States,artist,1938,73
2055,United States,athlete,1924,92
2056,United States,politician,1876,60
2057,United States,athlete,1939,73
2058,United Kingdom,socialite,1887,61
2059,Mexico,politician,1864,49
2060,Poland,philosopher,1898,16
2061,Spain,politician,1966,42
2062,United States,athlete,1906,88
2063,Germany,artist,1945,56
2064,United States,artist,1974,36
2065,France,athlete,1926,24
2066,Chile,journalist,1934,78
2067,United Kingdom,politician,1908,68
2068,Austria,architect,1908,97
2069,Ukraine,artist,1974,42
2070,Ukraine,artist,1974,42
2071,France,artist,1956,62
2072,Finland,artist,1929,61
2073,United States,artist,1874,79
2074,France,librarian,1791,41
2074,France,armenologist,1791,41
2075,Spain,artist,1952,44
2076,United States,athlete,1951,45
2077,Australia,artist,1934,63
2078,United States,artist,1930,80
2079,United States,athlete,1892,44
2080,Austria,athlete,1965,53
2081,United States,artist,1944,67
2082,Finland,researcher,1733,38
2083,United States,artist,1914,72
2084,Germany,politician,1929,56
2085,United States,artist,1939,69
2086,Spain,monk,1870,66
2087,Germany,politician,1874,71
2088,United Kingdom,engineer,1895,42
2089,United States,artist,1932,87
2090,United States,athlete,1945,45
2091,United States,artist,1921,70
2092,United States,artist,1970,45
2093,United States,lawyer,1953,56
2094,Spain,christians jehovah’s witnesses,1913,23
2095,United Kingdom,artist,1905,47
2096,France,journalist,1767,41
2097,United States,researcher,1929,81
2098,United States,artist,1957,36
2099,United States,artist,1925,76
2100,Argentina,artist,1908,82
2101,Chad,politician,1950,57
2102,United States,researcher,1929,89
2103,France,artist,1920,52
2104,Poland,religious figure,1858,35
2105,France,religious figure,1858,35
2106,United States,politician,1830,36
2107,France,researcher,1776,55
2108,Austria,artist,1912,66
2109,Turkey,athlete,1955,42
2110,Panama,athlete,1956,63
2111,United States,athlete,1942,67
2112,Denmark,artist,1958,28
2113,France,explorer,1639,71
2114,France,artist,1874,75
2115,United States,engineer,1973,40
2116,United Kingdom,artist,1927,84
2117,United States,politician,1822,51
2118,Finland,alpine skier,1962,17
2119,Philippines,athlete,1935,67
2120,United Kingdom,artist,1949,68
2121,United States,athlete,1946,72
2122,Jamaica,politician,1942,69
2123,South Africa,athlete,1952,61
2124,United States,artist,1922,70
2125,United States,politician,1856,66
2126,Japan,artist,1539,71
2127,United States,artist,1971,19
2128,United States,athlete,1967,41
2129,United Kingdom,journalist,1955,48
2130,France,researcher,1937,59
2131,United States,artist,1944,39
2132,France,artist,1946,70
2133,United States,politician,1924,94
2134,Romania,artist,1951,42
2135,Netherlands,athlete,1932,86
2136,Finland,researcher,1946,64
2137,Australia,politician,1899,64
2138,United States,athlete,1892,78
2139,Japan,artist,1936,67
2140,Germany,politician,1862,72
2141,Germany,politician,1862,72
2142,France,artist,1930,50
2143,United States,athlete,1943,59
2144,Turkey,military personnel,1879,43
2145,United States,artist,1897,64
2146,United States,artist,1883,85
2147,United States,artist,1890,71
2148,South Africa,artist,1953,49
2149,New Zealand,athlete,1942,33
2150,United States,politician,1823,70
2151,Australia,politician,1857,64
2152,United States,artist,1920,70
2153,"Macedonia, The Former Yugoslav",sovereign,-358,77
2155,Hungary,artist,1885,76
2156,"Iran, Islamic Republic of",politician,1979,31
2157,Italy,artist,1930,67
2158,United States,artist,1934,78
2159,United States,artist,1926,80
2160,United States,politician,1829,34
2161,United States,researcher,1900,70
2162,United States,artist,1905,71
2163,France,journalist,1946,38
2164,United States,politician,1950,46
2165,United States,artist,1933,73
2166,United Kingdom,researcher,1946,62
2167,Italy,designer,1943,71
2168,South Africa,athlete,1940,74
2169,United States,religious figure,1921,62
2170,United States,film producer,1947,63
2170,United States,music producer,1947,63
2171,United States,athlete,1909,47
2172,United Kingdom,artist,1928,72
2173,New Zealand,politician,1942,63
2174,France,explorer,1657,47
2175,France,essayist,1935,78
2176,Mexico,serial killer,1959,47
2177,Australia,artist,1936,58
2178,Kenya,artist,1960,45
2179,Belgium,artist,1906,79
2180,Austria,artist,1894,48
2181,United States,artist,1892,85
2182,United States,artist,1883,57
2183,United States,politician,1881,49
2184,United States,politician,1897,48
2185,United States,artist,1888,72
2186,France,athlete,1969,35
2187,United Kingdom,artist,1962,57
2188,United Kingdom,artist,1957,41
2189,United States,artist,1936,69
2190,United States,politician,1916,49
2191,Canada,researcher,1928,61
2192,Canada,artist,1925,79
2193,Serbia,artist,1977,33
2194,United States,artist,1888,73
2195,France,politician,1841,58
2196,Australia,athlete,1967,47
2197,Estonia,athlete,1902,39
2198,United States,serial killer,1912,65
2199,United States,athlete,1869,63
2200,Spain,lawyer,1513,46
2201,France,politician,1769,46
2202,Bolivia,politician,1920,56
2203,United States,journalist,1954,46
2204,Greece,politician,1854,68
2205,United States,businessperson,1927,75
2206,United States,artist,1976,43
2207,France,researcher,1919,58
2208,United States,artist,1917,48
2209,Turkey,artist,1961,52
2210,United States,politician,1946,58
2211,Germany,artist,1882,63
2212,United States,politician,1874,44
2213,United Kingdom,artist,1923,61
2214,Germany,military personnel,1889,56
2215,United States,politician,1833,68
2216,Russian Federation,politician,1947,51
2217,Haiti,religious figure,1951,64
2218,United States,artist,1953,60
2219,Russian Federation,researcher,1934,78
2220,Israel,athlete,1946,54
2221,United States,politician,1825,41
2222,United States,athlete,1896,81
2223,United States,artist,1920,81
2224,Belgium,judoka,1962,39
2225,United States,activist,1933,60
2226,France,artist,1965,53
2227,Venezuela,athlete,1981,29
2228,United Kingdom,midwife,1941,69
2228,United Kingdom,nurse,1941,69
2229,United States,athlete,1884,72
2230,Serbia,athlete,1986,33
2231,South Africa,athlete,1933,73
2232,United States,lawyer,1925,81
2233,Mexico,athlete,1912,88
2234,Russian Federation,cinematographer,1929,84
2234,Russian Federation,camera operator,1929,84
2234,Russian Federation,pedagogue,1929,84
2235,Australia,politician,1932,76
2236,Austria,artist,1868,50
2237,Romania,politician,1950,57
2238,Egypt,politician,1954,57
2239,Russian Federation,artist,1938,74
2240,Germany,artist,1922,38
2241,Hungary,police officer,1915,98
2242,United Kingdom,artist,1942,60
2243,Italy,engineer,1934,84
2244,United Kingdom,artist,1763,41
2245,United Kingdom,artist,1763,41
2246,France,military personnel,1310,48
2247,Turkey,artist,1925,81
2248,Netherlands,artist,1937,67
2249,United States,artist,1926,71
2250,United States,athlete,1922,69
2251,Tunisia,politician,1909,40
2252,Canada,journalist,1947,67
2253,United Kingdom,businessperson,1933,83
2254,Poland,politician,1952,58
2255,Austria,production designer,1919,57
2256,Poland,artist,1925,51
2257,Chile,researcher,1930,79
2258,Sweden,artist,1911,49
2259,Brazil,athlete,1990,27
2260,Japan,artist,1922,32
2261,Sweden,artist,1891,41
2262,United Kingdom,military personnel,1909,65
2263,Finland,artist,1860,59
2264,Norway,politician,1878,42
2265,United States,artist,1943,63
2266,United States,athlete,1890,85
2267,United States,nutritionist,1910,70
2267,United States,cardiologist,1910,70
2268,United States,politician,1918,58
2269,France,politician,1932,87
2270,United States,artist,1949,64
2271,Germany,artist,1926,55
2272,United States,physician,1824,35
2273,Croatia,artist,1910,70
2274,United Kingdom,athlete,1949,58
2275,Israel,politician,1953,62
2276,France,athlete,1944,68
2277,United States,artist,1923,82
2278,Poland,accountant,1886,51
2279,Japan,athlete,1956,53
2280,United States,businessperson,1898,31
2281,United States,researcher,1806,55
2282,United States,entrepreneur,1894,87
2283,United States,artist,1926,71
2284,Australia,politician,1885,70
2285,United States,politician,1859,70
2286,United States,journalist,1942,77
2287,Trinidad and Tobago,politician,1917,93
2288,United States,artist,1929,81
2289,France,athlete,1931,22
2290,Austria,artist,1833,58
2291,Japan,athlete,1973,45
2292,Spain,researcher,1955,45
2293,United Kingdom,military personnel,1920,58
2294,Canada,athlete,1879,33
2295,Italy,military personnel,1946,49
2296,Hungary,politician,1374,25
2297,France,artist,1938,72
2298,United States,artist,1956,25
2299,Turkey,journalist,1937,73
2300,Slovenia,artist,1929,76
2301,United States,artist,1935,34
2302,United States,athlete,1913,63
2303,United Kingdom,politician,1894,70
2304,United States,artist,1904,91
2305,United States,artist,1879,75
2306,United Kingdom,artist,1879,75
2307,Canada,artist,1934,69
2308,Austria,artist,1881,68
2309,Bulgaria,politician,1916,84
2310,United States,athlete,1932,75
2311,Germany,military personnel,1887,58
2312,United States,artist,1942,57
2313,New Zealand,artist,1941,56
2314,France,artist,1773,54
2315,Spain,artist,1896,75
2316,United States,athlete,1945,71
2317,Canada,politician,1929,75
2318,Greece,artist,1941,72
2319,United Kingdom,artist,1798,38
2320,United States,military personnel,1902,82
2321,United Kingdom,artist,1952,59
2322,United States,military personnel,1913,89
2323,United Kingdom,artist,1941,74
2324,Chile,designer,1865,47
2325,Ireland,researcher,1834,76
2326,United Kingdom,artist,1900,32
2327,United Kingdom,politician,1915,92
2328,Norway,athlete,1975,44
2329,United States,artist,1929,75
2330,Denmark,athlete,1972,34
2331,Hungary,politician,1895,51
2332,India,artist,1927,87
2333,Italy,criminal,1932,77
2334,United States,entrepreneur,1926,55
2335,United States,artist,1916,85
2336,Germany,artist,1921,64
2337,United Kingdom,artist,1946,65
2338,Sri Lanka,politician,1927,77
2339,United States,artist,1916,83
2340,United States,teacher,1902,61
2341,Switzerland,teacher,1902,61
2342,United States,artist,1940,73
2343,Japan,researcher,1940,79
2344,United States,artist,1893,36
2345,Germany,resistance fighter,1915,29
2345,Germany,aristocrat,1915,29
2346,United States,politician,1894,54
2347,France,surfer,1980,25
2348,United Kingdom,teacher,1872,68
2349,Canada,skier,1969,40
2349,Canada,blogger,1969,40
2349,Canada,freestyle skier,1969,40
2350,United States,military personnel,1914,93
2351,United States,researcher,1912,78
2352,Lebanon,religious figure,1920,99
2353,Spain,bullfighter,1837,52
2354,United States,politician,1880,58
2355,Canada,artist,1964,53
2356,"Iran, Islamic Republic of",athlete,1930,38
2357,"Iran, Islamic Republic of",athlete,1930,38
2358,United States,physician,1745,56
2359,Netherlands,politician,1949,70
2360,Spain,athlete,1958,51
2361,United States,businessperson,1892,71
2362,United States,artist,1917,88
2363,Mexico,researcher,1903,39
2364,United States,cinematographer,1895,67
2365,Poland,artist,1951,67
2366,United Kingdom,athlete,1900,58
2367,United States,entrepreneur,1931,60
2368,United Kingdom,athlete,1952,44
2369,Croatia,artist,1951,55
2370,United States,politician,1804,65
2371,Hungary,judoka,1962,46
2372,Italy,artist,1932,47
2373,United States,artist,1952,41
2374,United States,politician,1909,91
2375,United Kingdom,athlete,1932,26
2376,United States,artist,1930,83
2377,Israel,artist,1930,83
2378,Russian Federation,artist,1950,68
2379,Germany,researcher,1821,47
2380,Australia,artist,1946,67
2381,Pakistan,artist,1948,43
2382,Bangladesh,artist,1948,43
2383,Australia,artist,1881,60
2384,United States,artist,1926,57
2385,Sweden,artist,1935,84
2386,France,politician,1906,62
2387,Netherlands,artist,1943,52
2388,United Kingdom,guitarist,1944,57
2389,Germany,lawyer,1903,35
2390,United States,artist,1924,83
2391,Germany,astrologer,1878,63
2391,Germany,geodesist,1878,63
2392,Canada,athlete,1932,79
2393,Germany,athlete,1815,25
2394,United States,artist,1873,85
2395,United States,artist,1861,41
2396,United States,researcher,1916,84
2397,Norway,researcher,1947,70
2398,China,politician,1920,51
2399,Germany,fighter pilot,1893,25
2400,New Zealand,athlete,1935,51
2401,Poland,engineer,1909,69
2402,Lebanon,athlete,1957,61
2403,Iraq,athlete,1957,61
2404,France,artist,1960,58
2405,United Kingdom,athlete,1932,81
2406,United States,artist,1949,46
2407,France,artist,1941,42
2408,Australia,military personnel,1954,51
2409,United States,artist,1930,53
2410,United States,athlete,1968,36
2411,United States,artist,1953,62
2412,Portugal,artist,1884,57
2413,Romania,artist,1933,50
2414,United Kingdom,artist,1935,47
2415,Mexico,athlete,1943,47
2416,Cuba,athlete,1943,47
2417,France,athlete,1949,52
2418,United Kingdom,politician,1739,28
2419,France,alpine skier,1933,84
2420,United States,athlete,1983,23
2421,Papua New Guinea,politician,1950,57
2422,Poland,librarian,1962,48
2423,United States,police officer,1835,57
2424,Greece,teacher,1902,52
2425,Norway,religious figure,1673,62
2426,United States,artist,1922,76
2427,United Kingdom,politician,1922,82
2428,United States,artist,1965,34
2429,France,artist,1846,44
2430,France,mechanic,1876,26
2431,India,artist,1915,65
2432,Nicaragua,politician,1950,41
2433,El Salvador,politician,1950,41
2434,Austria,politician,1899,75
2435,United States,politician,1829,75
2436,United States,politician,1905,84
2437,United States,military personnel,1822,61
2438,United States,artist,1884,61
2439,United States,artist,1884,61
2440,United States,artist,1927,89
2441,Canada,artist,1942,63
2442,Germany,researcher,1841,54
2443,United States,politician,1882,63
2444,United States,military personnel,1897,70
2445,United Kingdom,fashion designer,1936,74
2446,United Kingdom,artist,1925,81
2447,United States,artist,1880,80
2448,United States,athlete,1943,69
2449,United States,politician,1934,71
2450,United States,athlete,1896,51
2451,United States,politician,1921,39
2452,United States,art director,1939,67
2452,United States,production designer,1939,67
2453,United Kingdom,artist,1963,53
2454,United States,gangster,1950,29
2455,China,politician,243,17
2456,United States,artist,1927,56
2457,Norway,athlete,1963,41
2458,Spain,businessperson,1943,57
2459,Germany,politician,1899,46
2460,Cuba,politician,1925,42
2461,United States,artist,1939,70
2462,Italy,artist,1942,75
2463,Germany,artist,1942,75
2464,Australia,artist,1913,93
2465,United States,politician,1928,79
2466,United Kingdom,artist,1964,54
2467,Ecuador,artist,1898,21
2468,United States,athlete,1966,45
2469,United States,artist,1928,76
2470,United States,athlete,1901,57
2471,Guyana,athlete,1901,57
2472,Canada,athlete,1901,57
2473,Switzerland,artist,1878,78
2474,China,essayist,1898,95
2475,Canada,athlete,1936,82
2476,Spain,marathon runner,1890,59
2477,United States,artist,1919,82
2478,United States,athlete,1980,37
2479,New Zealand,engineer,1959,53
2480,Netherlands,artist,1931,71
2481,United States,artist,1914,82
2482,France,politician,1967,50
2483,United States,athlete,1969,35
2484,United States,athlete,1983,26
2485,United States,artist,1896,64
2486,Greece,artist,1896,64
2487,United States,artist,1893,79
2488,Colombia,artist,1957,56
2489,United States,athlete,1925,77
2490,China,politician,1893,88
2491,United Kingdom,artist,1800,33
2492,Sri Lanka,politician,1966,42
2493,United States,criminal,1906,86
2494,United States,athlete,1962,42
2495,Australia,athlete,1951,68
2496,United States,athlete,1942,45
2497,United States,researcher,1940,67
2498,Haiti,politician,1951,63
2499,United States,artist,1934,73
2500,United States,artist,1935,67
2501,Uruguay,artist,1909,85
2502,Spain,artist,1909,85
2503,United States,artist,1897,64
2504,United States,artist,1943,37
2505,France,politician,1946,61
2506,Spain,artist,1884,45
2507,United States,politician,1938,74
2508,Indonesia,artist,1853,59
2509,Portugal,religious figure,1924,58
2510,United States,architect,1864,62
2511,United Kingdom,aristocrat,1940,63
2512,United Kingdom,artist,1935,75
2513,United States,artist,1931,78
2514,United States,artist,1911,67
2515,United States,artist,1939,66
2516,Cuba,athlete,1951,38
2517,United Kingdom,athlete,1952,54
2518,Romania,athlete,1959,54
2519,United States,artist,1889,73
2520,United Kingdom,artist,1913,91
2521,United States,researcher,1941,73
2522,France,artist,1961,46
2523,Italy,artist,1903,61
2524,Netherlands,politician,1924,75
2525,Russian Federation,artist,1945,59
2526,France,artist,1933,74
2527,United States,violist,1920,59
2528,Iceland,politician,1934,64
2529,Estonia,artist,1900,39
2530,United Kingdom,mercenary,1951,25
2531,Cyprus,mercenary,1951,25
2532,Finland,artist,1942,68
2533,United States,engineer,1937,54
2534,France,military personnel,1788,30
2535,Hungary,politician,1792,57
2536,Russian Federation,athlete,1947,70
2537,France,artist,1961,21
2538,Canada,artist,1968,40
2539,United States,artist,1931,75
2540,United States,artist,1903,59
2541,Costa Rica,athlete,1970,46
2542,Georgia,politician,1882,40
2543,United States,artist,1902,81
2544,Canada,artist,1902,81
2545,United Kingdom,athlete,1875,62
2546,United States,artist,1949,65
2547,Australia,politician,1944,65
2548,Sweden,military personnel,1889,28
2549,Germany,researcher,1876,49
2550,United States,artist,1933,68
2551,China,politician,1924,91
2552,France,artist,1945,54
2553,United States,artist,1885,45
2554,Bulgaria,artist,1885,45
2555,United Kingdom,alpine skier,1904,27
2556,United States,artist,1957,57
2557,United States,socialite,1902,51
2557,United States,art collector,1902,51
2558,France,artist,1861,83
2559,Pakistan,artist,1954,30
2560,United States,artist,1908,84
2561,United States,artist,1934,85
2562,Mexico,artist,1934,85
2563,United States,politician,1922,85
2564,United States,politician,1913,93
2565,United States,artist,1945,43
2566,Japan,politician,1889,88
2567,Japan,artist,1964,37
2568,Serbia,artist,1949,52
2569,Portugal,artist,1890,26
2570,Jamaica,artist,1949,70
2571,Estonia,athlete,1902,33
2572,United States,journalist,1917,74
2573,Canada,artist,1940,67
2574,United Kingdom,journalist,1942,74
2575,France,researcher,1918,86
2576,Russian Federation,hammer thrower,1958,60
2577,Philippines,teacher,1967,50
2578,United Kingdom,military personnel,1709,51
2579,United States,politician,1931,72
2580,United States,athlete,1876,50
2581,Turkey,artist,1910,63
2582,Japan,politician,1887,58
2583,United States,artist,1949,65
2584,Germany,religious figure,1700,45
2585,United States,businessperson,1853,83
2586,France,artist,1901,31
2587,France,politician,1766,66
2588,United Kingdom,artist,1961,38
2589,United States,engineer,1917,95
2590,United States,artist,1949,46
2591,United States,artist,1941,64
2592,United States,activist,1924,68
2593,France,politician,1838,44
2594,United Kingdom,researcher,1889,62
2595,Austria,researcher,1889,62
2596,Russian Federation,businessperson,1962,42
2597,United Kingdom,engineer,1933,20
2598,United Kingdom,politician,1940,72
2599,United States,drug trafficker,1958,20
2599,United States,prostitute,1958,20
2600,Germany,artist,1941,73
2601,Switzerland,politician,1949,67
2602,Germany,serial killer,1863,59
2602,Germany,criminal,1863,59
2603,Australia,artist,1936,81
2604,United States,politician,1923,79
2605,United States,journalist,1930,80
2606,South Africa,athlete,1960,50
2607,Colombia,contract killer,1961,29
2608,Germany,politician,1902,42
2609,United States,military personnel,1930,37
2610,France,artist,1921,85
2611,United States,journalist,1922,80
2612,United States,athlete,1967,33
2613,United States,athlete,1967,33
2614,France,farmworker,1920,22
2615,Argentina,artist,1903,53
2616,United Kingdom,researcher,1721,50
2617,United Kingdom,artist,1929,72
2618,United States,artist,1876,30
2619,United Kingdom,artist,1903,53
2620,India,politician,1950,63
2621,Chile,politician,1918,53
2622,United States,politician,1812,60
2623,United Kingdom,artist,1947,68
2624,United States,artist,1910,74
2625,United Kingdom,naval officer,1704,65
2626,Italy,athlete,1976,37
2627,United States,athlete,1957,25
2628,Ecuador,businessperson,1951,63
2629,Germany,revolutionary,1943,67
2630,Philippines,politician,1896,75
2631,France,artist,1929,83
2632,United States,businessperson,1890,64
2633,Australia,researcher,1870,74
2634,Denmark,artist,1942,67
2635,Japan,artist,1903,60
2636,Sweden,artist,1969,22
2637,Netherlands,conductor,1904,91
2637,Netherlands,resistance fighter,1904,91
2637,Netherlands,cellist,1904,91
2638,Switzerland,artist,1939,78
2639,United States,artist,1925,79
2640,France,artist,1925,79
2641,Canada,politician,1854,71
2642,United States,athlete,1916,95
2643,Uruguay,athlete,1972,30
2644,United States,journalist,1866,68
2645,United States,artist,1918,85
2646,United States,artist,1896,41
2647,United States,translator,1903,76
2648,Japan,artist,1948,51
2649,United States,politician,1917,89
2650,United States,researcher,1875,43
2651,Netherlands,researcher,1875,43
2652,United States,artist,1944,42
2653,United States,artist,1888,82
2654,Jamaica,record producer,1949,41
2655,Russian Federation,magician,1944,62
2655,Russian Federation,nan,1944,62
2656,United States,artist,1957,56
2657,United States,artist,1947,70
2658,France,nun,1742,52
2658,France,martyr,1742,52
2659,United Kingdom,artist,1944,42
2660,Belgium,politician,1893,51
2661,United States,politician,1943,70
2662,United States,athlete,1901,80
2663,United States,artist,1929,74
2664,United States,researcher,1919,66
2665,United States,artist,1905,78
2666,Australia,artist,1932,72
2667,Brazil,businessperson,1955,57
2668,United States,athlete,1933,76
2669,United States,artist,1916,97
2670,United States,lawyer,1957,61
2671,Jamaica,drug trafficker,1956,54
2672,United States,politician,1947,67
2673,United States,artist,1943,66
2674,Turkey,politician,1968,50
2675,Hungary,artist,1887,51
2676,United States,artist,1913,70
2677,United States,artist,1960,44
2678,United States,artist,1905,66
2679,United States,athlete,1869,71
2680,France,artist,1986,28
2681,United States,artist,1948,61
2682,Canada,politician,1880,55
2683,Canada,athlete,1984,27
2684,United Kingdom,artist,1942,71
2685,United States,politician,1946,68
2686,Canada,professional wrestler,1932,77
2687,United States,politician,1863,59
2688,Italy,athlete,1974,23
2689,Ghana,athlete,1954,59
2690,United States,teacher,1933,68
2691,United States,politician,1870,62
2692,Ghana,politician,1918,72
2693,Germany,researcher,1793,78
2694,United States,artist,1913,77
2695,United States,artist,1933,57
2696,Spain,politician,1475,44
2697,United States,artist,1918,87
2698,Romania,artist,1942,47
2699,France,politician,1760,37
2700,United Kingdom,businessperson,1871,80
2701,Mexico,artist,1917,93
2702,Kiribati,weightlifter,1987,26
2703,Spain,artist,1950,41
2704,United States,physician,1924,76
2705,United Kingdom,artist,1919,85
2706,United States,artist,1903,83
2707,United States,artist,1936,63
2708,Greece,politician,1935,54
2709,United States,artist,1938,73
2710,United States,businessperson,1944,63
2711,Malta,artist,1915,27
2712,France,officer of the french navy,1748,45
2712,France,explorer,1748,45
2713,United States,artist,1895,68
2714,Hungary,politician,1871,40
2715,Japan,athlete,1924,73
2716,Japan,athlete,1939,80
2717,Australia,politician,1890,49
2718,United States,artist,1914,87
2719,United States,explorer,1788,49
2720,France,researcher,1933,81
2721,Germany,regent,1871,66
2722,Spain,politician,1926,68
2723,United States,business executive,1959,57
2724,United States,military personnel,1948,66
2725,Germany,radio personality,1938,72
2726,United States,politician,1942,66
2727,United States,artist,1894,43
2728,United States,artist,1938,69
2729,United States,businessperson,1939,68
2730,France,artist,1927,89
2731,United States,artist,1916,92
2732,Germany,politician,1891,43
2733,Germany,politician,1891,43
2734,Australia,artist,1960,58
2735,Norway,artist,1970,45
2736,Ukraine,engineer,1931,64
2737,Russian Federation,artist,1957,45
2738,Japan,researcher,1867,68
2739,United States,artist,1923,54
2740,United States,artist,1930,79
2741,United States,researcher,1917,75
2742,United Kingdom,researcher,1917,75
2743,France,artist,1933,57
2744,Canada,athlete,1930,83
2745,United States,artist,1893,56
2746,United States,business executive,1943,63
2747,United States,publisher,1915,48
2748,Venezuela,model,1991,23
2748,Venezuela,beauty pageant contestant,1991,23
2749,Canada,teacher,1936,76
2750,Germany,artist,1937,74
2751,France,artist,1915,78
2752,Armenia,politician,1947,52
2753,United States,film producer,1930,80
2754,United States,artist,1911,52
2755,Israel,journalist,1953,58
2756,United States,artist,1953,56
2757,United States,artist,1952,54
2758,France,artist,1937,66
2759,United States,athlete,1874,81
2760,Colombia,engineer,1949,60
2761,United States,artist,1921,83
2762,United Kingdom,military personnel,1949,51
2763,"Iran, Islamic Republic of",artist,1929,81
2764,United States,artist,1925,58
2765,United States,artist,1927,76
2766,Iraq,politician,1935,45
2767,"Iran, Islamic Republic of",politician,1935,45
2768,United States,artist,1944,66
2769,Australia,politician,1929,66
2770,France,artist,1898,65
2771,United Kingdom,athlete,1927,81
2772,Austria,politician,1721,57
2773,United Kingdom,artist,1976,27
2774,Poland,athlete,1975,30
2775,Canada,businessperson,1875,51
2776,Argentina,artist,1925,76
2777,United States,artist,1947,59
2778,Italy,artist,1889,76
2779,United States,athlete,1948,57
2780,Netherlands,artist,1904,54
2781,Belgium,artist,1941,73
2782,Egypt,artist,1911,96
2783,United States,military personnel,1961,51
2784,Romania,prosecutor,1973,29
2785,United States,artist,1931,75
2786,Australia,artist,1958,53
2787,Spain,dancer,1912,73
2788,United Kingdom,politician,1947,61
2789,United States,politician,1762,54
2790,United States,politician,1926,83
2791,Brazil,artist,1936,81
2792,Canada,athlete,1924,81
2793,Argentina,artist,1943,61
2794,Argentina,politician,1925,88
2795,Uruguay,athlete,1942,65
2796,South Africa,politician,1941,77
2797,Romania,athlete,1951,60
2798,United States,athlete,1931,76
2799,Germany,entrepreneur,1905,29
2800,Australia,researcher,1914,92
2801,United Kingdom,military personnel,1907,89
2802,United States,politician,1850,66
2803,Mexico,politician,1850,66
2804,United Kingdom,entrepreneur,1959,58
2805,United Kingdom,journalist,1954,62
2806,United States,politician,1831,72
2807,Brazil,politician,1869,19
2808,Australia,television presenter,1935,78
2809,Pakistan,judge,1924,91
2810,New Zealand,artist,1944,71
2811,Ireland,businessperson,1887,50
2812,Italy,blogger,1977,38
2812,Italy,humanitarian,1977,38
2813,Mauritania,politician,1934,45
2814,United States,engineer,1940,53
2815,France,politician,1903,41
2816,Germany,aristocrat,1719,53
2817,United States,artist,1950,60
2818,United States,farmer,1889,26
2819,Finland,artist,1908,71
2820,Canada,athlete,1962,50
2821,Belgium,politician,1956,58
2822,United States,artist,1911,77
2823,Argentina,artist,1944,46
2824,Romania,athlete,1976,24
2825,United States,researcher,1911,57
2826,"Korea, Democratic People's",artist,1900,55
2828,Greece,artist,1896,32
2829,Hungary,artist,1929,87
2830,Bolivia,politician,1863,72
2831,United States,artist,1944,74
2832,Spain,politician,1872,48
2833,United States,politician,1952,59
2834,Germany,athlete,1934,71
2835,Spain,politician,1724,70
2836,France,politician,1724,70
2837,United Kingdom,racing automobile driver,1924,77
2838,United Kingdom,politician,1718,47
2839,United Kingdom,psychologist,1927,83
2840,United States,athlete,1932,78
2841,Spain,politician,1893,43
2842,Canada,politician,1936,54
2843,New Zealand,racing automobile driver,1936,56
2843,New Zealand,formula one driver,1936,56
2844,United States,artist,1937,61
2845,United States,athlete,1941,77
2846,France,artist,1923,84
2847,Austria,artist,1923,84
2848,Morocco,artist,1935,68
2849,Germany,spy,1908,34
2850,United States,artist,1975,22
2851,United States,athlete,1947,29
2852,United States,artist,1826,63
2853,Hungary,researcher,1817,65
2854,United States,artist,1942,68
2855,United States,artist,1913,51
2856,United States,politician,1927,91
2857,Germany,human rights activist,1949,31
2858,Lebanon,military personnel,1942,42
